figure,direction,condition,metric,source_value,canonical_reference,status
fig8,D2_ISRUC_TO_SLEEPEDF,C0,row/source equivalence,"{""b0_point"": ""0.525748502994012"", ""b1_point"": ""0.5261477045908184"", ""ci95_high"": ""0.023381648718292576"", ""ci95_low"": ""-0.021820064091687984"", ""condition"": ""C0"", ""delta"": ""0.0003992015968063978"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C0,row/source equivalence,"{""b0_point"": ""0.7685928997149521"", ""b1_point"": ""0.7762805562753735"", ""ci95_high"": ""0.03123175215784032"", ""ci95_low"": ""-0.014604446585783831"", ""condition"": ""C0"", ""delta"": ""0.007687656560421363"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C0,row/source equivalence,"{""b0_point"": ""0.8684437862520054"", ""b1_point"": ""0.8200666419844502"", ""ci95_high"": ""-0.03760495985754126"", ""ci95_low"": ""-0.06036124779067137"", ""condition"": ""C0"", ""delta"": ""-0.04837714426755513"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C0,row/source equivalence,"{""b0_point"": ""0.6428571428571429"", ""b1_point"": ""0.7365466511807975"", ""ci95_high"": ""0.15590274097236945"", ""ci95_low"": ""0.04863291630392601"", ""condition"": ""C0"", ""delta"": ""0.09368950832365464"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C1,row/source equivalence,"{""b0_point"": ""0.7466336905743337"", ""b1_point"": ""0.7550609141705596"", ""ci95_high"": ""0.034130812831002506"", ""ci95_low"": ""-0.01559278566678117"", ""condition"": ""C1"", ""delta"": ""0.008427223596225941"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C1,row/source equivalence,"{""b0_point"": ""0.36706586826347304"", ""b1_point"": ""0.36167664670658684"", ""ci95_high"": ""0.00892418953937277"", ""ci95_low"": ""-0.023990075806172295"", ""condition"": ""C1"", ""delta"": ""-0.005389221556886203"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C1,row/source equivalence,"{""b0_point"": ""0.7320549365120498"", ""b1_point"": ""0.7402608620540727"", ""ci95_high"": ""0.022649308433552527"", ""ci95_low"": ""-0.010878748971984232"", ""condition"": ""C1"", ""delta"": ""0.00820592554202293"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C1,row/source equivalence,"{""b0_point"": ""0.80389979020116"", ""b1_point"": ""0.8192027644082439"", ""ci95_high"": ""0.03103186173767789"", ""ci95_low"": ""0.0037312092537502145"", ""condition"": ""C1"", ""delta"": ""0.01530297420708393"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C1,row/source equivalence,"{""b0_point"": ""0.5840108401084011"", ""b1_point"": ""0.715834301200155"", ""ci95_high"": ""0.19434159742524493"", ""ci95_low"": ""0.0732586593460702"", ""condition"": ""C1"", ""delta"": ""0.1318234610917539"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C2,row/source equivalence,"{""b0_point"": ""0.2619767335348539"", ""b1_point"": ""0.7662361454612073"", ""ci95_high"": ""0.700249281862362"", ""ci95_low"": ""0.34381386791276053"", ""condition"": ""C2"", ""delta"": ""0.5042594119263535"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C2,row/source equivalence,"{""b0_point"": ""0.30419161676646705"", ""b1_point"": ""0.3407185628742515"", ""ci95_high"": ""0.086216888963446"", ""ci95_low"": ""-0.0051719658100478376"", ""condition"": ""C2"", ""delta"": ""0.03652694610778445"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C2,row/source equivalence,"{""b0_point"": ""0.6454176384210072"", ""b1_point"": ""0.8011574673922434"", ""ci95_high"": ""0.21959082001972977"", ""ci95_low"": ""0.09376112458588375"", ""condition"": ""C2"", ""delta"": ""0.15573982897123617"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C2,row/source equivalence,"{""b0_point"": ""0.7618166111316796"", ""b1_point"": ""0.7539183018635073"", ""ci95_high"": ""0.043153152237956995"", ""ci95_low"": ""-0.07001192195498619"", ""condition"": ""C2"", ""delta"": ""-0.007898309268172365"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C2,row/source equivalence,"{""b0_point"": ""0.5435540069686411"", ""b1_point"": ""0.4789005032907472"", ""ci95_high"": ""-0.01899768628485966"", ""ci95_low"": ""-0.11469487926456826"", ""condition"": ""C2"", ""delta"": ""-0.06465350367789391"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C3,row/source equivalence,"{""b0_point"": ""0.7589872229209657"", ""b1_point"": ""0.7810332605783729"", ""ci95_high"": ""0.03456777280746147"", ""ci95_low"": ""0.009837834853120012"", ""condition"": ""C3"", ""delta"": ""0.022046037657407203"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C3,row/source equivalence,"{""b0_point"": ""0.2615153486355048"", ""b1_point"": ""0.21844314345011306"", ""ci95_high"": ""-0.033598177548125205"", ""ci95_low"": ""-0.05276408521914286"", ""condition"": ""C3"", ""delta"": ""-0.04307220518539173"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C3,row/source equivalence,"{""b0_point"": ""0.5020347547686551"", ""b1_point"": ""0.5225028447993211"", ""ci95_high"": ""0.028629548114011947"", ""ci95_low"": ""0.012851151559577733"", ""condition"": ""C3"", ""delta"": ""0.020468090030665964"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C3,row/source equivalence,"{""b0_point"": ""0.9641076769690927"", ""b1_point"": ""0.9621392233555744"", ""ci95_high"": ""0.005246014224322302"", ""ci95_low"": ""-0.007594443534575984"", ""condition"": ""C3"", ""delta"": ""-0.001968453613518273"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C3,row/source equivalence,"{""b0_point"": ""0.5765821559899361"", ""b1_point"": ""0.6323979098122702"", ""ci95_high"": ""0.06761535028591772"", ""ci95_low"": ""0.0438349514341444"", ""condition"": ""C3"", ""delta"": ""0.05581575382233406"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""b0_point"": ""0.5396689707683882"", ""b1_point"": ""0.7148834694423326"", ""ci95_high"": ""0.19194913800254199"", ""ci95_low"": ""0.157816594611111"", ""condition"": ""C4"", ""delta"": ""0.17521449867394445"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""b0_point"": ""0.1746275129325032"", ""b1_point"": ""0.13917541740234798"", ""ci95_high"": ""-0.027111579593747364"", ""ci95_low"": ""-0.04424774212341363"", ""condition"": ""C4"", ""delta"": ""-0.035452095530155214"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""b0_point"": ""0.5301259426411309"", ""b1_point"": ""0.5099085806862235"", ""ci95_high"": ""-0.01103192324969437"", ""ci95_low"": ""-0.02924933458015243"", ""condition"": ""C4"", ""delta"": ""-0.02021736195490742"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""b0_point"": ""0.9715468977682337"", ""b1_point"": ""0.9722371347495974"", ""ci95_high"": ""0.0031972859999186746"", ""ci95_low"": ""-0.0015847971538354906"", ""condition"": ""C4"", ""delta"": ""0.0006902369813637232"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""b0_point"": ""0.35168053673956523"", ""b1_point"": ""0.5415650603186891"", ""ci95_high"": ""0.2128057083538479"", ""ci95_low"": ""0.16490850142513433"", ""condition"": ""C4"", ""delta"": ""0.1898845235791239"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""b0_point"": ""0.47616895500286693"", ""b1_point"": ""0.5252324246554066"", ""ci95_high"": ""0.08598087048287748"", ""ci95_low"": ""0.013490382592209927"", ""condition"": ""C5"", ""delta"": ""0.049063469652539715"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""Wake""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""b0_point"": ""0.37064399219403393"", ""b1_point"": ""0.17820524734380325"", ""ci95_high"": ""-0.16143164039185848"", ""ci95_low"": ""-0.22580646989574202"", ""condition"": ""C5"", ""delta"": ""-0.1924387448502307"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N1""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""b0_point"": ""0.3495824413199869"", ""b1_point"": ""0.47108912418754456"", ""ci95_high"": ""0.14766626572707833"", ""ci95_low"": ""0.09560500185927252"", ""condition"": ""C5"", ""delta"": ""0.12150668286755767"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N2""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""b0_point"": ""0.6446557762609607"", ""b1_point"": ""0.832579185520362"", ""ci95_high"": ""0.22637911036404307"", ""ci95_low"": ""0.14938935569894343"", ""condition"": ""C5"", ""delta"": ""0.18792340925940132"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""N3""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig8,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""b0_point"": ""0.6286562157280176"", ""b1_point"": ""0.4874266176375717"", ""ci95_high"": ""-0.12535559538500493"", ""ci95_low"": ""-0.15879839322231076"", ""condition"": ""C5"", ""delta"": ""-0.14122959809044583"", ""experiment_id"": ""D2_ISRUC_TO_SLEEPEDF"", ""stage"": ""REM""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
